GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kursPatterns,dao,UserDAO,25,27,1,1,8,6,2,4,1,4
kursPatterns,dao,CategoryFactory,30,48,7,5,7,15,5,4,0,3
kursPatterns,dao,CategoryDAO,7,80,1,5,3,22,1,8,0,6
kursPatterns,dao,BillDAO,0,30,0,0,0,10,0,3,0,3
kursPatterns,dao,DAO,13,43,0,0,6,19,1,4,1,4
kursPatterns,dao,OperationDAO,66,147,7,3,14,42,7,15,3,14
kursPatterns,dao,LimitDAO,0,34,0,0,0,9,0,4,0,4
kursPatterns,dao,PeriodDAO,0,16,0,0,0,4,0,3,0,3
kursPatterns,dao,TypeCategoryDAO,0,44,0,2,0,14,0,8,0,7
kursPatterns,util,DateUtil,3,12,0,0,1,3,1,3,1,3
kursPatterns,util,MsgWindow,83,0,6,0,28,0,9,0,6,0
kursPatterns,util,BCrypt,66,6071,28,68,20,184,28,36,0,16
kursPatterns,util,HibernateSessionFactory,11,66,0,8,2,19,0,6,0,2
kursPatterns,controllers.operations,ExpendFormState,99,0,10,0,29,0,12,0,7,0
kursPatterns,controllers.operations,Closed,13,0,0,0,7,0,7,0,7,0
kursPatterns,controllers.operations,ProfitFormState,96,0,8,0,28,0,11,0,7,0
kursPatterns,controllers.operations,ControllerOperationForm,343,0,16,0,99,0,16,0,8,0
kursPatterns,controllers.operations,TransferFormState,145,0,16,0,39,0,15,0,7,0
kursPatterns,controllers.tabs,ExpendTab,29,0,0,0,8,0,3,0,3,0
kursPatterns,controllers.tabs,TransferTab,46,0,0,0,11,0,3,0,3,0
kursPatterns,controllers.tabs,MyTab,359,0,14,0,74,0,19,0,12,0
kursPatterns,controllers.tabs,ProfitTab,29,0,0,0,8,0,3,0,3,0
kursPatterns,controllers,Controller,417,0,6,0,96,0,21,0,18,0
kursPatterns,controllers,ControllerAllCategoriesForm,162,0,6,0,51,0,12,0,9,0
kursPatterns,controllers,ControllerBillForm,167,0,10,0,48,0,10,0,5,0
kursPatterns,controllers,ControllerCategoryForm,158,0,10,0,49,0,12,0,7,0
kursPatterns,controllers,ControllerAllLimitsForm,249,0,6,0,66,0,12,0,9,0
kursPatterns,controllers,ControllerLogin,106,0,4,0,34,0,7,0,5,0
kursPatterns,controllers,ControllerLimitForm,262,53,13,5,65,13,13,3,5,2
kursPatterns,controllers,ControllerAllBillsForm,245,0,8,0,64,0,13,0,9,0
kursPatterns,controllers,ControllerRegistry,197,0,12,0,54,0,11,0,5,0
kursPatterns,model.categories,TypeCategory,10,54,4,6,2,11,6,6,2,5
kursPatterns,model.categories,Category,30,76,4,8,4,22,6,13,2,11
kursPatterns,model,Period,23,41,5,5,2,11,7,5,2,5
kursPatterns,model,OperationBuilder,184,99,16,14,57,25,24,12,12,6
kursPatterns,model,Operation,246,159,59,0,53,52,39,26,8,26
kursPatterns,model,Limit,167,42,24,0,24,18,19,12,7,12
kursPatterns,model,User,67,26,12,0,10,10,11,6,5,6
kursPatterns,model,Bill,146,59,16,0,22,23,13,14,5,14
kursPatterns,main,Main,49,0,2,0,14,0,4,0,3,0
kursPatterns,exceptions,EqualsBills,5,0,0,0,2,0,2,0,2,0
kursPatterns,exceptions,FinishDateBeforeStartDateException,5,0,0,0,2,0,2,0,2,0
kursPatterns,exceptions,NegativeBalanceException,5,0,0,0,2,0,2,0,2,0
kursPatterns,exceptions,FromBillNotChoosed,5,0,0,0,2,0,2,0,2,0
kursPatterns,exceptions,UserAlreadyExistsException,2,3,0,0,1,1,1,1,1,1
kursPatterns,exceptions,ToBillNotChoosed,5,0,0,0,2,0,2,0,2,0
kursPatterns,exceptions,DublicateCategory,2,3,0,0,1,1,1,1,1,1
